id,name_a,name_b,long,lat
1226,10th / Wabash / Ariana,2nd Street,-9126122.581823101,3256159.0606368734
8852,10th / Wabash / Ariana,2nd Street,-9125899.27492457,3256160.069787961
1942,10th / Wabash / Ariana,Aa Street,-9125710.031790221,3252250.677145884
1917,10th / Wabash / Ariana,Ariana Place,-9126288.859746499,3252237.8015713664
1673,10th / Wabash / Ariana,Ariana Street,-9127084.048265083,3252236.1747856415
8213,10th / Wabash / Ariana,Ariana Street,-9124342.8058043,3252237.940289538
8858,10th / Wabash / Ariana,Atline Road,-9125913.969097354,3256831.8026437373
1401,10th / Wabash / Ariana,Azalea Court,-9127103.005974364,3254631.1910976875
1935,10th / Wabash / Ariana,Bb Street,-9125709.475192768,3252301.750798801
3301,10th / Wabash / Ariana,Beacon Hill Drive,-9124990.462601732,3251320.791937402
3313,10th / Wabash / Ariana,Bonnie Drive,-9124338.909622122,3251595.4255315475
3366,10th / Wabash / Ariana,Bonnie Drive,-9124338.686983138,3251625.9547295715
5647,10th / Wabash / Ariana,Carters Subdivision,-9123853.857224198,3254557.8630679515
9127,10th / Wabash / Ariana,Carver Avenue,-9124649.268362453,3256838.1101522045
1932,10th / Wabash / Ariana,CC Street,-9125709.029914804,3252354.5901629585
1175,10th / Wabash / Ariana,Chestnut Hills Drive,-9127557.757226204,3256549.1031272095
1174,10th / Wabash / Ariana,Chestnut Place,-9127557.523455275,3256456.157960568
1705,10th / Wabash / Ariana,Clyde Street,-9127084.493543046,3252594.3245634837
1341,10th / Wabash / Ariana,Cochran Street,-9127105.176704437,3254931.496557878
8985,10th / Wabash / Ariana,Connestee Road,-9125563.090062374,3256832.0549440193
1508,10th / Wabash / Ariana,Crutchfield Road,-9127557.779490102,3256362.128577363
1185,10th / Wabash / Ariana,Davis Avenue,-9126244.81062399,3256831.2980431863
1338,10th / Wabash / Ariana,Dille Street,-9127105.655378247,3255055.964644727
8274,10th / Wabash / Ariana,Dorothy Street,-9124726.268054234,3253197.689590493
8832,10th / Wabash / Ariana,Dupont - Lakeland,-9126029.396277359,3256831.916178863
10579,10th / Wabash / Ariana,Dupont - Lakeland,-9126022.394281385,3256832.080174048
7079,10th / Wabash / Ariana,East 1st Street,-9123448.264640182,3256035.7933964
7242,10th / Wabash / Ariana,East Bay Street,-9123438.824747363,3254882.7842876203
9306,10th / Wabash / Ariana,East Crawford Street,-9123225.993012914,3257312.73335253
7125,10th / Wabash / Ariana,East Memorial Boulevard,-9123449.37783509,3255896.898342662
7123,10th / Wabash / Ariana,East Memorial Boulevard,-9123448.732182043,3255912.4389772955
7188,10th / Wabash / Ariana,East Myrtle Street,-9123444.4129858,3255310.5677496684
7229,10th / Wabash / Ariana,East Oak Street,-9123440.572463367,3254999.0280473786
7190,10th / Wabash / Ariana,East Parker Street,-9123444.991847152,3255412.3598750536
7267,10th / Wabash / Ariana,East Peachtree Street,-9123441.40735955,3255100.691700732
7491,10th / Wabash / Ariana,East Pine Street,-9123443.745068856,3254764.220715074
1183,10th / Wabash / Ariana,Edith Avenue,-9126362.47532576,3256830.667292524
1815,10th / Wabash / Ariana,Elizabeth Street,-9127089.725559114,3253693.802533602
1452,10th / Wabash / Ariana,Emma Street,-9127109.284393646,3255669.6185958837
8683,10th / Wabash / Ariana,Emma Street,-9123447.897285862,3255688.905312945
1972,10th / Wabash / Ariana,Faye Avenue,-9126480.14002753,3252236.4270004695
8876,10th / Wabash / Ariana,Florida State Road 539,-9125428.604985546,3256836.2052843384
8868,10th / Wabash / Ariana,Florida State Road 539,-9125408.85690788,3256836.9117253697
3275,10th / Wabash / Ariana,Forest Park Street,-9125273.08052496,3252006.6234026663
1789,10th / Wabash / Ariana,George Jenkins Boulevard,-9127093.354574513,3254204.021849675
7300,10th / Wabash / Ariana,George Jenkins Boulevard,-9123443.756200805,3255244.157313852
3333,10th / Wabash / Ariana,Gilpin Avenue,-9124613.534805907,3252237.183644982
1163,10th / Wabash / Ariana,Gress Lane,-9127558.65891408,3256650.6144083147
3233,10th / Wabash / Ariana,Harden Boulevard,-9125269.58509295,3251322.4312233333
3290,10th / Wabash / Ariana,Harden Boulevard,-9125251.584731286,3251322.330344194
8229,10th / Wabash / Ariana,Hartsell Avenue,-9124526.371644618,3252237.4358598297
8131,10th / Wabash / Ariana,Hartsell Avenue,-9124519.469836188,3253543.4671845282
1809,10th / Wabash / Ariana,Hickory Street,-9127089.725559114,3253732.900086891
1337,10th / Wabash / Ariana,Ivey Lane,-9127106.200843751,3255159.1927935435
1196,10th / Wabash / Ariana,Jewell Avenue,-9125899.27492457,3256160.069787961
3286,10th / Wabash / Ariana,Jim Bob Boulevard,-9124990.462601732,3251320.791937402
8920,10th / Wabash / Ariana,Kathleen / Providence / Harden,-9124815.501758054,3256837.2144858236
9194,10th / Wabash / Ariana,Kathleen / Providence / Harden,-9123905.654163953,3256845.3890206236
8980,10th / Wabash / Ariana,Kathleen Road,-9125428.604985546,3256836.2052843384
8982,10th / Wabash / Ariana,Kathleen Road,-9125408.85690788,3256836.9117253697
9099,10th / Wabash / Ariana,Kettles Avenue,-9124138.645858184,3256840.6331564127
8228,10th / Wabash / Ariana,King Avenue,-9124460.78220064,3252238.7095448794
3415,10th / Wabash / Ariana,King Avenue,-9124451.008349348,3251319.1526516676
8248,10th / Wabash / Ariana,Lake Hunter Drive,-9124865.027799508,3252636.168171676
8241,10th / Wabash / Ariana,Lake Hunter Drive,-9124858.738248277,3252644.907675748
8531,10th / Wabash / Ariana,Lake Wire Drive,-9123842.536012672,3254667.743525895
7319,10th / Wabash / Ariana,Lake Wire Drive,-9123590.052275605,3254780.277189285
1800,10th / Wabash / Ariana,Lakeland Subdivision,-9127090.549323346,3253849.146606724
575,10th / Wabash / Ariana,Lakeland Subdivision,-9127090.538191395,3253853.7500751726
1759,10th / Wabash / Ariana,Lanier Street,-9127090.48253165,3253967.9922664776
3357,10th / Wabash / Ariana,Leyte Street,-9124341.136011938,3252013.218710439
9131,10th / Wabash / Ariana,Lotela Avenue,-9124451.898905277,3256839.6239546738
3260,10th / Wabash / Ariana,Lotus Avenue,-9125712.636666307,3252236.1117319344
8331,10th / Wabash / Ariana,Lotus Avenue,-9125709.029914804,3252354.5901629585
3372,10th / Wabash / Ariana,Louise Drive,-9124339.622066861,3251423.058538734
1343,10th / Wabash / Ariana,Marjorie Road,-9127105.165572487,3254819.5544576836
9092,10th / Wabash / Ariana,Martin Luther King Jr. Avenue,-9123905.654163953,3256845.3890206236
1487,10th / Wabash / Ariana,Memorial Boulevard,-9127558.146844422,3255870.433893826
1469,10th / Wabash / Ariana,Memorial Boulevard,-9127557.779490102,3255896.330706182
1481,10th / Wabash / Ariana,Memorial Boulevard,-9127110.264005166,3255864.6314000306
1757,10th / Wabash / Ariana,Mershon Street,-9127090.538191395,3253879.958344482
